tweet_id,created_at,text,user_screen_name,label,english_translation
guj001,2023-05-19 15:44:55+00:00,"@username @username ઇ વાયડાઈ ના તું હાઈસ ડોબો 
 એક હવાઈ ગયું છે મગજ તારું હવે સમજાયું @url",Red__chilli_,HOF,@username @username e ydai na tu hiis dobo ek hawai hai hai hai hai ur brain now i understand @url
guj002,2023-05-27 16:44:40+00:00,"@username @username આવા હલકા કેટલા છે કાય ખબર નથી પડતી
આવા હલકા વિરોધ કરવા સિવાય બીજો ધંધો જ સુ છે 
જેને બોલાવે તેને એમા તારા બાપા નું સુ જાય છે હલકા 
છાનોમાનો તારું કામ કર ને હલકા હા ત્રેવડ નથી ને સલાહ દેવા આવી ગયો છે હલકો
ભાગ હલકા ભાગ",sureshn25559831,HOF,"@username @username does not know how much lighthouse is, other than light protest is the same business that calls it to your father."
guj003,2023-05-25 03:56:05+00:00,"@username @username તારી જેમ અમે જ્ઞાતિ માં બટાઇ ગયેલા નથી ટોપા. અમે બધા ભારતીય છીએ અને સનાતની છીએ. 

તારા જેવા બકરી ના લિન્ડા ની જેમ વેરાઈ ગયેલા કેહવાય આંપિયાં",chattansinh,HOF,@username @username like you are not in the caste.We are all Indians and we are saints.A goat like a goat like a linda like yours
guj004,2023-03-25 08:05:22+00:00,"@username આવું વાહિયાત ખાવા વાળા લોકો પણ છે 😈😈😈😈😈😈

@username

@username

@username

@username

@username

@username

@username

@username

@username

@username",imkpbhatt,NOT,@username is also a fucking people 😈😈😈😈😈😈@username@username@username@username@username@username@username@username
guj005,2023-05-24 07:01:42+00:00,"@username @username બેશક, હું તમને મૂર્ખ કહી શકું છું, મારા મતે મૂર્ખ એટલે અજ્ઞાની 

અને  અજ્ઞાની વ્યક્તિ સાથે દલીલ ના કરવી એ મારો પોતાનો નિયમ છે, ટુંકમાં એટલુજ કે હું કોણ છું અને કેમ છું એની દલીલ મૂર્ખ સાથે કેમ કરું...... @url",irshadvihari,NOT,"@username @username Of course, I can call you stupid, in my opinion not to argue with an ignorant and ignorant person is my own rule, in short, why I argue with the stupid ..... @url"
guj006,2023-03-25 13:29:57+00:00,"સંજય રાઉત  વિશેષાધિકાર હનન મામલા માં દોષી સાબિત,
વિધિ મંડળ માટે ""ચોર મંડળી"" ની ટિપ્પણી પર આવ્યો નિર્ણય,

સાંસદી પર તલવાર લટકાઇ....☺️",Hits136,NOT,"Sanjay Raut privileged Hanan has been guilty of guilty, the decision came on the comment of ""thief congregation"" for the ritual, a sword hanging on MP ...."
guj007,2023-05-21 11:54:06+00:00,"@username બકવાસ પાર્ટી
B.J.P.",Bkjoliya1,HOF,@username nonsense partyB.J.P.
guj008,2023-05-21 14:38:34+00:00,"બે ચોર એક દુકાન માં ચોરી કરવા ગયાં 

શર્ટ ઉપર ભાવનું સ્ટીકર જોઈ ને એક ચોર બોલ્યો 

જોતો ખરા હાવ લુંટવાજ બેઠા છે ને. 

            😂😂😂😂😂😂",krupali_000_,NOT,"Two thieves went to a shop to steal a sticker on a shirt and said a thief said, and the robbery is sitting.1"
guj009,2023-05-26 20:14:27+00:00,@username  સાહેબ શ્રી જુનાગઢ જિલ્લા નાં માંગરોળ તાલુકા બંદર ફિલ્ડર વિસ્તારમાં વારંવાર લાઇટ જતી રહે છે દિવસ માં ૫ થી ૬ વખત લાઈટ જતી રહે છે..વારંવાર મૌખિક રજુઆત કરવા છતાં કોઈ પણ જાતનો નિકલ થયેલ નથી હાલ ગરમી માં રહવું બહુ મુશ્કેલ બની ગયું છે..આપ સાહેબ ને યોગ્ય કરવા નમ્ર વી. છે,SutharAdil,NOT,@username Saheb Lights are often gone in the Mangrol taluka port field area of Shri Junagadh district. Lights are gone 3 to 3 times a day.Humble to do your sir right.Is
guj010,2023-05-22 11:17:23+00:00,"@username આ બધા કામ લુખ્ખા પાર્ટી જ કરે,,એટલે તો 27 વરસ થી બીજેપી સરકાર બેસાડી છે ચોર લોગો યે.",BeingSohebpatel,HOF,"@username All this work should be done by a rogue party, that is, since 27 years, BJP government has been in place, thief logo."
